INFO:root:Train set: Epoch: [86/300]	Losses: tot:1.30437568	hm:0.44884936	wh:0.58391563	reg:0.13133169	dep:0.00703066	tracking:0.65877241	
INFO:root:Train set: Epoch: [87/300]	Losses: tot:1.33235056	hm:0.45781473	wh:0.60049343	reg:0.13347598	dep:0.00689898	tracking:0.67411153	
INFO:root:Train set: Epoch: [88/300]	Losses: tot:1.27353183	hm:0.44818145	wh:0.57642392	reg:0.13074345	dep:0.00670735	tracking:0.6302572	
INFO:root:Train set: Epoch: [89/300]	Losses: tot:1.30157266	hm:0.44500382	wh:0.57830843	reg:0.1317764	dep:0.00690879	tracking:0.6600528	
INFO:root:Train set: Epoch: [90/300]	Losses: tot:1.32328636	hm:0.44798746	wh:0.575603	reg:0.13013742	dep:0.00656102	tracking:0.68104016	
INFO:root:Val set: Epoch: [90/300]	Losses: tot:0.95762314	hm:0.36863499	wh:0.48461001	reg:0.11443613	dep:0.00477294	tracking:0.42131809	
INFO:root:Train set: Epoch: [91/300]	Losses: tot:1.26136314	hm:0.43693745	wh:0.55490498	reg:0.13064581	dep:0.00665991	tracking:0.63162948	
INFO:root:Train set: Epoch: [92/300]	Losses: tot:1.28250488	hm:0.44508843	wh:0.57209861	reg:0.1298286	dep:0.00663295	tracking:0.64374503	
INFO:root:Train set: Epoch: [93/300]	Losses: tot:1.31052433	hm:0.44498875	wh:0.57630829	reg:0.13193704	dep:0.00674092	tracking:0.66922679	
INFO:root:Train set: Epoch: [94/300]	Losses: tot:1.31094858	hm:0.45044748	wh:0.58641491	reg:0.13227777	dep:0.00691247	tracking:0.66266937	
INFO:root:Train set: Epoch: [95/300]	Losses: tot:1.27364435	hm:0.44288027	wh:0.57814811	reg:0.1299754	dep:0.00673958	tracking:0.63623429	
INFO:root:Train set: Epoch: [96/300]	Losses: tot:1.33094687	hm:0.45893055	wh:0.59450623	reg:0.13220549	dep:0.00687735	tracking:0.67348286	
INFO:root:Train set: Epoch: [97/300]	Losses: tot:1.29479713	hm:0.44836577	wh:0.58322261	reg:0.13154156	dep:0.00681381	tracking:0.64975373	
INFO:root:Train set: Epoch: [98/300]	Losses: tot:1.25430693	hm:0.43973721	wh:0.568572	reg:0.12894147	dep:0.00663277	tracking:0.62213829	
INFO:root:Train set: Epoch: [99/300]	Losses: tot:1.3112102	hm:0.43725661	wh:0.56403439	reg:0.12901537	dep:0.00664106	tracking:0.68189372	
INFO:root:Train set: Epoch: [100/300]	Losses: tot:1.28580553	hm:0.44179814	wh:0.57653824	reg:0.12902905	dep:0.00656174	tracking:0.65076278	
INFO:root:Val set: Epoch: [100/300]	Losses: tot:0.96745999	hm:0.37517212	wh:0.47154189	reg:0.1093899	dep:0.00458239	tracking:0.43116139	
INFO:root:Train set: Epoch: [101/300]	Losses: tot:1.24454207	hm:0.42891397	wh:0.55410449	reg:0.12936228	dep:0.00661122	tracking:0.62424415	
